order_id;client_id;client_name;product_id;product_name;quantity;unit_price;order_date;delivery_date;status;region;sales_rep;operational_data
ORD-001782;CLI-0121;Offshore Dynamics;PRD-0007;Temperature Unit T3;413;8651.03;06/11/2022;18-Nov-2022;confirmed;West;James Ford;"{""shipping"": {""method"": ""economy"", ""priority"": 2, ""instructions"": ""Fragile handle with care""}, ""device"": {""fingerprint"": ""a835da5075ce590598ac0f70345a949c"", ""platform"": ""api"", ""version"": ""3.8.19""}, ""flags"": {""is_bulk"": true, ""is_international"": false}}"
ORD-001556;CLI-0127;Delta Logistics;PRD-0092;Control Panel X1;54;$8024.92;06-Feb-2023;13-Feb-2023;shipped;Central;Alice Martin;"{""shipping"": {""method"": ""express"", ""priority"": 2"
ORD-000256;CLI-0105;FastTrack Ltd;PRD-0093;Smart Gateway 500;232;2757.44;06-07-2022;2022-06-13;shipped;South;Irene Lopes;"{""shipping"": {""method"": ""express"", ""priority"": 2, ""instructions"": """"}, ""device"": {""fingerprint"": ""0c3e6fb81b6dffd0e569dc6a1f3fc450"", ""platform"": ""desktop"", ""version"": ""2.6.18""}, ""flags"": {""is_bulk"": true, ""is_international"": false}}"
ORD-003333;CLI-0021;JetPath Services;PRD-0027;Edge Router ER6;310;2446.38;06-15-2023;03-Aug-2023;shipped;East;Clara Hughes;"{""shipping"": {""method"": ""economy"", ""priority"": 3, ""instructions"": ""Signature required""}, ""device"": {""fingerprint"": ""39eeb5a0e47eef74ce55d0c310948d83"", ""platform"": ""mobile"", ""version"": ""2.1.7""}, ""flags"": {""is_bulk"": false, ""is_international"": false}}"
ORD-002994;CLI-0177;Crestline Partners;PRD-0057;Pressure Gauge PG4;174;391.64;2023-06-02;18/07/2023;shipped;Central;Alice Martin;"{""shipping"": {""method"": ""economy"", ""priority"": 3, ""instructions"": ""Fragile handle with care""}, ""device"": {""fingerprint"": ""13da7135a6792cd3755bc10838da07dc"", ""platform"": ""mobile"", ""version"": ""2.2.1""}, ""flags"": {""is_bulk"": true, ""is_international"": true}}"
ORD-000213;CLI-0157;JetPath Services;PRD-0064;Wireless Module WM1;97;9468.32;12-22-2022;2023-02-02;pending;East;Grace Kim;"{""shipping"": {""method"": ""express"", ""priority"": 3, ""instructions"": ""Call before delivery""}, ""device"": {""fingerprint"": ""b825be1feb133a0e3be03ddffd5d023a"", ""platform"": ""desktop"", ""version"": ""3.3.20""}, ""flags"": {""is_bulk"": false, ""is_international"": false}}"
ORD-001848;CLI-0112;RedLine Operations;PRD-0077;Battery Pack BP3;343;8261.81;21-Jun-2023;07-31-2023;shipped;South;Bob Carter;
ORD-001485;CLI-0165;NovaTech Solutions;PRD-0100;Industrial Sensor v2;14;8514.78;15-Jan-2023;02-01-2023;pending;West;Clara Hughes;"{""shipping"": {""method"": ""overnight"", ""priority"": 2, ""instructions"": ""Signature required""}, ""device"": {""fingerprint"": ""172b18975f56418bf885eb9ebecb9e2f"", ""platform"": ""mobile"", ""version"": ""3.2.16""}, ""flags"": {""is_bulk"": false, ""is_international"": false}}"
ORD-003034;CLI-0093;Delta Logistics;PRD-0071;Edge Router ER6;86;3888.26;23-Oct-2024;12-09-2024;pending;West;Elena Moss;"{""shipping"": {""method"": ""overnight"", ""priority"": 3, ""instructions"": ""No instructions""}, ""device"": {""fingerprint"": ""31df51734f9a54dfdfb604c6beda194d"", ""platform"": ""mobile"", ""version"": ""3.1.0""}, ""flags"": {""is_bulk"": true, ""is_international"": false}}"
ORD-003183;CLI-0015;Meridian Exports;PRD-0070;Pressure Gauge PG4;455;9714.08;07-Oct-2023;19/11/2023;shipped;Central;Elena Moss;"{""shipping"": {""method"": ""standard"", ""priority"": 2, ""instructions"": ""Leave at door""}, ""device"": {""fingerprint"": ""c1231e804ff1eb1636efd66b270a014b"", ""platform"": ""api"", ""version"": ""1.4.20""}, ""flags"": {""is_bulk"": false, ""is_international"": false}}"
